"Year","ACCESS-ESM1-5","CanESM5","CESM2","CESM2-WACCM","GFDL-ESM4","MIROC-ES2L","MPI-ESM1-2-LR","IPSL-CM6A-LR","NorESM2-LM","UKESM1-0-LL"
2082,1.13183960718431e-07,8.71727885061721e-08,2.09849357966034e-07,2.22808828394329e-07,3.97872228513638e-07,2.39464185409592e-07,1.98988422836793e-07,2.42461556883087e-07,1.76182628657345e-07,1.96429797390047e-07
2083,1.12203799233195e-07,7.23954050938371e-08,2.085595074147e-07,2.29251703907913e-07,4.15089604779387e-07,2.59559531666706e-07,2.02588275769306e-07,2.40683551158376e-07,1.83716267026833e-07,2.0491974822919e-07
2084,1.15341832044595e-07,4.89901774215111e-08,2.00343024343561e-07,2.12326649855635e-07,4.09876253287528e-07,2.56671964841181e-07,1.97319059009115e-07,2.40892413176649e-07,1.82529226908271e-07,1.73007110339075e-07
2085,1.22803081660914e-07,6.7495565054654e-08,2.09438104493472e-07,1.91797735179452e-07,4.05196248883669e-07,2.48913300798374e-07,2.03876441910452e-07,2.24840452218113e-07,1.92115369084431e-07,1.43537765123834e-07
2086,1.18722601983917e-07,4.97361092937754e-08,2.02193553597437e-07,2.17820913349381e-07,4.07616094370284e-07,2.34943869634934e-07,2.02383240242098e-07,2.14571880779092e-07,1.90482406706511e-07,1.31900537697722e-07
2087,1.1185216892177e-07,5.68456254219017e-08,2.16197931325942e-07,2.15833963044834e-07,4.09407113665478e-07,2.56913095075865e-07,1.8304619104292e-07,2.27257683333492e-07,1.7249081996155e-07,1.75576508377805e-07
2088,1.15457882064465e-07,6.33896858248528e-08,2.13371470667915e-07,1.94922724200838e-07,4.14653146622419e-07,2.67348359177138e-07,1.66733855897289e-07,2.4022305048091e-07,1.65467033297104e-07,2.21858955500427e-07
2089,1.21573318281167e-07,5.33820230587076e-08,2.29138504213662e-07,1.9426787928862e-07,4.24777739938729e-07,2.68492618187156e-07,1.94223469267761e-07,2.26852952705587e-07,1.92036033196543e-07,1.85928367106332e-07
2090,1.10719021904806e-07,5.78554499594618e-08,2.11506705723354e-07,2.0849614853568e-07,4.18839954161562e-07,2.57788079323649e-07,1.96312850025303e-07,2.18911781125548e-07,1.86077130944557e-07,1.45091549891942e-07
2091,1.07556355354464e-07,6.03680616096068e-08,2.05047842274759e-07,1.98021843617254e-07,4.00370254776659e-07,2.74342207599255e-07,2.03777361577569e-07,2.19124302543354e-07,1.73905338426253e-07,1.3711648056263e-07
2092,1.23189386077073e-07,8.37173275084737e-08,2.06070142245803e-07,2.11444805374892e-07,4.29003290767888e-07,2.81105532035114e-07,1.94007661124069e-07,2.40100806655759e-07,1.81545646989204e-07,1.39155531156064e-07
2093,1.20558700040126e-07,8.74728001310963e-08,1.90951281307119e-07,1.99707467604382e-07,4.38645894504107e-07,2.81140451485869e-07,2.26963910697549e-07,2.67173575609575e-07,1.90506861716896e-07,1.4206492619227e-07
2094,1.17401900178076e-07,8.14704416882189e-08,2.04120246526937e-07,2.07447351028104e-07,4.17803029651354e-07,3.14823757439428e-07,2.24412492600462e-07,2.66328036217778e-07,1.81223119123921e-07,1.58744378691609e-07
2095,1.26397614135365e-07,4.06588322480725e-08,2.14445734409444e-07,2.00311054457627e-07,3.96781523058047e-07,3.18584741206361e-07,2.11352430543627e-07,2.45123057132815e-07,1.65669125474697e-07,1.23761661318482e-07
2096,1.1945461985581e-07,3.71725603626238e-08,2.03833135721695e-07,2.10544317667367e-07,4.16006381166428e-07,3.03394381067914e-07,2.19988701845268e-07,2.3942046684396e-07,1.77646565598153e-07,1.45536213104086e-07
2097,1.16398077666544e-07,4.12362044663307e-08,2.11982715145946e-07,1.95576684464096e-07,4.22434453638005e-07,3.03593564999701e-07,2.23455947195335e-07,2.38407631072898e-07,1.82640332944079e-07,1.37168980264151e-07
2098,1.23940579331095e-07,4.74290654479806e-08,1.89874880329937e-07,2.046894722318e-07,4.22731397449851e-07,2.97585459659554e-07,2.22875486494648e-07,2.53185070327954e-07,1.83598314709572e-07,1.17573464054237e-07
2099,1.28166784346989e-07,4.98664418023454e-08,1.91270046369185e-07,2.01408841343211e-07,4.09051460123193e-07,3.01792810866731e-07,2.11873515438652e-07,2.43570060592948e-07,1.76422950682544e-07,1.28429694771848e-07
2100,1.18591382911096e-07,5.66392420570139e-08,2.10326142660675e-07,2.13108032923649e-07,4.06925691347796e-07,3.05181740210043e-07,2.01155887341342e-07,2.50413687316691e-07,1.64749196857982e-07,1.34142932455342e-07
