YEAR,CAN_ESM2|45 PPMEAN,CESM1_BGC|45 PPMEAN,GFDL_ESM2G|45 PPMEAN,GFDL_ESM2M|45 PPMEAN,HADGEM2_CC|45 PPMEAN,HADGEM2_ES|45 PPMEAN,IPSL_CM5A_LR|45 PPMEAN,IPSL_CM5A_MR|45 PPMEAN,IPSL_CM5B_LR|45 PPMEAN,MIROC_ESM|45 PPMEAN,MPI_ESM_LR|45 PPMEAN,MPI_ESM_MR|45 PPMEAN,NORESM1|45 PPMEAN
2025,591.7124023,455.8771973,460.1007996,630.749939,239.2020111,205.3694153,261.7642517,293.5179443,225.2309265,111.8250885,194.131424,182.5346069,312.7536926
2026,578.8881226,433.5964355,482.3894348,619.8490601,207.433548,206.8099213,285.0079346,326.0533447,182.2497406,109.674408,198.0606537,172.7360077,319.555481
2027,572.6990356,450.1690674,424.3114624,621.6271362,211.4136963,185.3499451,297.0307312,311.9999084,193.7678833,103.3995972,198.3205261,157.4554901,323.0774231
2028,614.6621094,449.4342651,432.3849792,616.5111694,194.8811188,193.4380646,288.0556335,292.1219177,196.5609589,102.7088852,187.7600861,165.8774414,318.993103
2029,600.9269409,436.2420959,440.0335083,640.0350952,214.4230957,169.0819244,271.1342773,320.8388367,202.0537262,103.2579422,198.661026,156.3642883,284.2901611
2030,600.3518677,428.8630066,461.6020813,595.0690308,226.445755,180.862793,282.3486633,278.1837463,163.7694092,105.4702148,198.7121429,143.4461517,310.0174866
2031,546.1349487,461.1418152,437.4809875,626.4698486,208.801239,192.9410553,261.9494629,328.5517578,172.0675659,109.1151428,194.8638,153.8488007,334.6834717
2032,537.8448486,437.4569397,445.2420654,616.5907593,200.6442871,186.4921417,278.7443237,285.5817261,174.3572235,109.7606125,181.550827,159.1203461,329.8518982
2033,529.0702515,442.6322327,440.9972534,616.6538086,200.1761322,165.1851807,278.1002197,270.9811401,170.3326263,111.1182709,168.1210632,172.4413452,315.0585327
2034,566.3014526,433.9885254,448.7359924,617.9976196,185.7280731,165.8931885,266.400238,306.4588928,157.2054138,109.4261856,180.3510437,183.4311676,306.508667
2035,576.2384644,459.7907104,468.1966553,628.4243774,165.8341827,163.6951447,292.744873,271.5493164,175.4464874,105.4938583,194.2631531,158.0381012,357.478241
2036,568.5042725,447.7591248,461.4026794,614.8475952,169.2224426,155.7117004,290.9298401,264.9021301,165.1133728,108.9372635,213.6495056,160.1387634,322.2166138
2037,548.7040405,414.2974548,483.8352356,622.5081787,180.0144958,149.8217163,254.8385925,241.226181,190.3466492,106.3272552,200.7096558,161.0274811,308.6012878
2038,569.2914429,422.2575684,481.6164856,592.7030029,184.7807159,184.7068024,282.243927,248.9798126,191.8986359,110.5226746,183.2941437,161.5245819,332.1699219
2039,605.4432373,436.6053772,454.7658691,589.7350464,173.7813263,163.3068695,264.239624,223.0924988,176.8103943,107.5917664,195.1158447,163.9150696,294.5953064
